product_code,product_label,angle,distance_m,lower_dbsm,upper_dbsm
electric motor,电动车,30度,10.0,-11.838389934242006,-1.8383899342420076
electric motor,电动车,30度,11.0,-11.22895024452208,-1.2289502445220801
electric motor,电动车,30度,12.0,-10.659943115903017,-0.6599431159030171
electric motor,电动车,30度,13.0,-10.129332448482396,-0.12933244848239767
electric motor,电动车,30度,14.0,-9.635082142357795,0.36491785764220275
electric motor,电动车,30度,15.0,-9.175156097626799,0.8248439023731979
electric motor,电动车,30度,16.0,-8.747518214386982,1.2524817856130124
electric motor,电动车,30度,17.0,-8.35013239273593,1.649867607264067
electric motor,电动车,30度,18.0,-7.9809625327712155,2.0190374672287774
electric motor,电动车,30度,19.0,-7.637972534590421,2.3620274654095716
electric motor,电动车,30度,20.0,-7.319126298291131,2.6808737017088635
electric motor,电动车,30度,21.0,-7.022387723970915,2.9776122760290757
electric motor,电动车,30度,22.0,-6.745720711727364,3.2542792882726292
electric motor,电动车,30度,23.0,-6.48708916165805,3.512910838341943
electric motor,电动车,30度,24.0,-6.244456973860554,3.7555430261394367
electric motor,电动车,30度,25.0,-6.01578804843246,3.9842119515675325
electric motor,电动车,30度,26.0,-5.799046285471345,4.20095371452865
electric motor,电动车,30度,27.0,-5.5921955850747835,4.407804414925209
electric motor,电动车,30度,28.0,-5.393199847340362,4.606800152659632
electric motor,电动车,30度,29.0,-5.200022972365659,4.799977027634334
electric motor,电动车,30度,30.0,-5.010628860248248,4.989371139751741
electric motor,电动车,30度,31.0,-4.822981411085719,5.177018588914272
electric motor,电动车,30度,32.0,-4.635044524975648,5.364955475024347
electric motor,电动车,30度,33.0,-4.4447821020156155,5.555217897984386
electric motor,电动车,30度,34.0,-4.250158042303191,5.749841957696807
electric motor,电动车,30度,35.0,-4.049136245935962,5.950863754064033
electric motor,电动车,30度,36.0,-3.839680613011513,6.160319386988485
electric motor,电动车,30度,37.0,-3.6197550436274177,6.380244956372584
electric motor,电动车,30度,38.0,-3.3873234378812533,6.612676562118745
electric motor,电动车,30度,39.0,-3.1403496958706114,6.85965030412939
electric motor,电动车,30度,40.0,-2.8767977176930586,7.123202282306947
electric motor,电动车,30度,41.0,-2.5946314034461864,7.405368596553833
electric motor,电动车,30度,42.0,-2.291814653227558,7.708185346772462
electric motor,电动车,30度,43.0,-1.966311367134761,8.033688632865259
